index,label
380,1
3641,-1
273,-1
1029,-1
684,-1
2899,-1
1568,1
6126,1
2267,-1
4030,1
5481,-1
5010,-1
1140,-1
49,-1
888,-1
4816,1
2676,-1
1916,1
1454,-1
2030,-1
3443,1
3608,1
5870,1
7145,1
4978,1
4136,1
1103,1
7946,-1
2164,-1
5129,1
6035,1
4164,1
6591,1
6072,1
3753,1
2847,-1
5296,1
7467,-1
4034,1
3188,1
7605,1
1585,1
39,-1
6050,1
1726,-1
422,1
3682,-1
7104,1
4493,1
5712,1
1651,-1
2804,-1
737,1
651,-1
1621,-1
4270,1
7729,-1
5038,1
5952,1
7944,-1
4900,1
2894,-1
558,-1
5316,-1
2761,-1
2470,-1
8114,1
1824,-1
3822,1
629,-1
994,-1
6829,1
6115,1
6815,1
2346,-1
134,-1
318,-1
4624,1
3343,-1
1022,-1
7975,-1
7357,1
1278,-1
5114,1
7138,1
1833,-1
276,-1
7049,1
842,-1
1939,-1
1615,-1
4687,1
1742,-1
7042,1
5986,1
6238,1
5372,1
1514,-1
8073,-1
6221,1
3754,1
244,-1
2194,-1
1654,-1
5686,-1
1515,-1
5909,1
1563,-1
7714,1
7166,1
6357,1
6641,1
3761,-1
451,-1
3620,-1
2423,-1
7734,1
6219,-1
7519,1
257,-1
989,-1
8064,1
2232,-1
2250,-1
865,-1
4085,1
20,-1
1455,-1
3954,1
2285,1
6529,1
5642,1
4929,1
3476,-1
4844,-1
4395,1
2303,-1
2067,1
6750,1
3658,1
3656,1
7110,-1
1044,-1
5354,1
5480,1
6864,1
7105,1
33,-1
7565,1
3161,1
72,-1
4397,1
5972,1
5022,1
5852,1
6884,-1
7900,-1
3572,1
1237,-1
971,-1
7081,1
4502,1
521,-1
4202,1
1085,-1
3554,1
1513,-1
1741,-1
44,-1
5110,1
5938,-1
6146,1
5881,1
548,-1
5598,-1
4892,1
3790,1
3497,-1
5064,1
7761,-1
233,-1
3472,-1
7413,-1
958,-1
2101,-1
779,-1
528,-1
4494,1
2658,-1
7504,1
1132,1
1270,-1
7629,1
776,1
6799,1
4854,1
388,-1
3756,-1
6371,1
2572,-1
5189,1
2092,-1
3696,-1
2608,-1
1379,-1
3662,-1
140,-1
7745,-1
4633,1
6944,1
5750,1
4375,-1
7133,-1
6717,1
3638,-1
396,-1
7689,-1
3849,-1
4117,1
1746,-1
6365,1
5413,-1
5668,1
4965,-1
3410,-1
162,-1
454,-1
4688,1
3369,-1
852,-1
487,-1
234,-1
3194,-1
1785,-1
5489,1
733,1
167,-1
3151,-1
4152,1
3197,-1
532,1
700,1
5095,1
4542,1
5236,1
5791,1
2550,-1
4045,1
188,-1
2095,-1
509,-1
6663,-1
7382,1
6993,1
6018,1
6852,1
6983,1
3559,1
4646,1
722,-1
1282,-1
7561,-1
5599,-1
5516,1
4848,1
5452,1
1425,-1
7314,-1
3904,1
5934,1
8028,1
1829,-1
5777,-1
1526,-1
6778,1
6217,1
4400,1
7993,-1
7096,1
543,-1
2551,-1
2560,1
8067,-1
5331,1
5430,-1
1555,1
7676,1
5745,1
2272,-1
7956,-1
6643,1
6077,1
5542,1
5527,1
4887,1
1906,-1
6131,1
7869,1
4753,1
2543,-1
6899,1
4855,1
4506,1
6804,1
499,-1
3583,1
3063,-1
6768,1
5287,1
7618,1
7300,-1
1388,-1
3998,-1
5699,1
8061,1
274,-1
4764,1
304,-1
693,-1
4314,1
979,-1
4408,1
2100,-1
5595,1
6390,1
1352,-1
3327,1
50,-1
4539,1
6068,-1
394,-1
4996,-1
982,-1
5602,1
4865,1
2456,-1
4666,1
1597,-1
3391,-1
7399,1
5631,1
2932,-1
2828,-1
1332,1
4344,1
4656,1
3019,-1
7941,1
2759,-1
1540,1
4559,1
6957,1
1702,-1
1161,-1
3407,-1
495,-1
1343,-1
1855,-1
2735,-1
5589,1
1564,-1
38,-1
1812,1
2756,-1
5279,1
3634,-1
2242,-1
1657,-1
4974,1
5608,-1
5386,-1
1917,-1
692,-1
3164,1
5450,1
4269,1
7973,1
3709,-1
6254,1
7822,1
7746,-1
7031,1
3750,1
7794,1
7356,1
356,-1
1315,-1
7534,-1
7128,-1
5788,1
6507,1
1437,1
5422,1
4676,1
277,-1
1127,-1
156,-1
4838,1
660,-1
3523,-1
7240,1
7885,1
1817,-1
3284,1
2994,-1
42,-1
4918,1
7950,1
1422,-1
8040,-1
7471,1
5688,1
1590,-1
6924,-1
6989,-1
6465,1
4812,-1
3338,-1
2031,-1
7436,1
6002,1
5526,1
2631,-1
1771,-1
5357,1
7431,1
6550,1
3974,1
6078,1
8029,-1
4426,1
5830,1
1168,-1
3007,-1
5092,1
6139,1
2911,-1
1811,-1
7647,1
4133,1
125,-1
152,-1
7506,1
200,-1
5419,1
642,-1
3411,1
2412,-1
2189,-1
3488,1
2081,-1
3213,-1
4153,1
4228,1
3957,1
1234,-1
2078,-1
1172,-1
5061,1
572,-1
7828,-1
719,-1
930,-1
978,-1
541,-1
2359,-1
5887,1
2260,-1
2400,1
3628,-1
1376,-1
3568,-1
217,-1
6970,-1
5428,1
6549,1
8107,-1
2586,-1
7544,1
6144,1
5267,1
5743,-1
2630,-1
4585,1
295,-1
8007,1
687,-1
5399,1
2579,-1
3474,-1
2644,-1
3654,1
794,1
7550,-1
4761,1
1985,-1
3176,-1
7895,-1
2033,-1
2006,1
980,-1
578,-1
2983,-1
6023,1
574,-1
7041,-1
5467,1
7126,1
4109,-1
2958,-1
938,-1
6100,1
5313,-1
6280,1
5564,1
444,-1
8003,-1
4430,1
5997,-1
6992,1
6156,1
2784,-1
1122,-1
326,-1
2525,-1
5373,1
6977,1
144,-1
4932,1
7284,-1
3376,-1
8006,1
635,-1
14,-1
5964,1
5834,1
8026,-1
3581,1
4477,1
5018,1
3440,-1
2913,-1
1675,-1
98,-1
6041,1
154,-1
226,-1
882,-1
5135,-1
4476,1
914,-1
5178,-1
8044,-1
5843,1
2709,-1
533,-1
6656,1
4840,1
7593,-1
6492,1
2539,1
5191,1
4586,1
725,1
5587,-1
1070,-1
5744,1
8111,-1
3636,-1
6401,1
3439,1
4739,1
229,-1
462,-1
224,-1
7532,-1
7419,1
3119,1
7060,1
916,-1
2228,-1
4487,1
7582,1
5093,1
2306,-1
7968,1
5417,-1
2875,-1
7014,1
2738,-1
4434,1
4977,1
5728,1
2318,-1
3021,-1
7411,-1
1914,-1
1670,-1
895,-1
4513,1
3263,-1
593,1
6359,1
1142,-1
4065,1
7685,-1
4424,-1
2294,-1
7149,1
6719,1
6933,1
6183,1
4132,1
5931,1
1644,-1
4311,1
1003,1
2690,-1
7870,-1
2481,-1
3353,-1
5888,1
4475,1
3251,-1
5078,1
1387,-1
2076,-1
1861,-1
2531,-1
7651,-1
32,-1
5247,1
1380,1
6527,1
1865,-1
158,-1
4458,1
7374,1
987,-1
2243,-1
311,1
6374,1
2565,-1
3551,-1
5982,1
147,-1
1460,-1
1060,-1
5600,1
6447,1
1035,-1
4193,1
1977,-1
4906,1
5860,1
3461,-1
4429,1
6759,1
1687,-1
7243,1
7106,1
7831,-1
2434,-1
4847,1
7035,-1
5454,1
1456,-1
2407,-1
7645,1
6961,1
5753,1
2182,-1
4807,1
5304,1
4686,1
949,1
176,-1
1573,-1
4064,1
3501,-1
90,-1
2087,-1
5969,1
296,-1
347,-1
5748,-1
2615,-1
6900,-1
6025,1
409,-1
704,-1
2420,-1
2308,-1
2755,-1
3795,-1
8010,-1
1815,-1
5561,1
6577,1
2606,-1
4404,1
4990,1
6807,1
5380,1
29,-1
2017,-1
5808,1
1666,-1
6831,1
6294,1
713,-1
3989,-1
4244,1
5731,-1
3812,-1
5119,1
8089,1
4760,1
7321,1
1974,-1
4209,1
1066,-1
6948,1
5565,1
4301,1
202,-1
3528,-1
1326,-1
6666,1
6927,-1
2831,-1
3829,1
5065,1
7205,-1
7459,-1
2402,-1
3055,-1
4392,1
5590,1
4964,-1
4880,1
3909,1
210,-1
2214,-1
2372,-1
5951,1
6556,1
4967,1
4576,1
3776,-1
1457,-1
4254,1
2213,-1
1788,-1
5449,1
6222,1
2364,-1
5224,1
2853,-1
2645,-1
119,-1
2060,-1
6788,1
6044,1
4439,1
5817,1
7626,-1
247,-1
4418,1
7023,1
771,-1
6718,1
5301,1
3673,-1
4958,1
2065,-1
6780,1
7423,1
4549,1
519,-1
1533,-1
4873,1
6918,1
6806,1
641,-1
317,-1
7777,-1
7576,-1
2172,-1
2048,-1
4769,1
1087,-1
7283,1
6058,1
3051,-1
4901,1
5254,1
3303,-1
6193,1
6500,1
6109,1
3172,-1
3184,-1
3131,-1
4346,1
6684,1
1733,-1
1843,1
2519,-1
5282,1
2613,-1
2459,-1
214,-1
1900,-1
6810,1
3838,-1
70,-1
6420,1
1283,-1
2923,-1
3357,1
2971,-1
7412,-1
6631,1
6812,1
3833,1
2004,1
7216,1
4612,1
4654,1
526,-1
2475,-1
6276,1
5194,1
6830,1
1523,-1
1143,-1
5415,-1
2038,-1
5523,1
7507,1
613,1
313,-1
5559,1
467,-1
6843,1
4608,1
3921,1
6259,1
3691,-1
6602,1
6798,1
4273,1
6865,1
7388,-1
6532,1
7180,1
6702,1
7533,-1
7338,1
4197,-1
6166,1
3768,-1
2457,-1
3651,-1
294,-1
6350,1
3112,-1
4341,-1
6958,-1
3888,-1
3935,1
6451,1
4355,1
456,-1
4486,1
1819,-1
6086,1
2340,-1
4003,-1
834,-1
7039,-1
7878,-1
527,-1
7117,1
6382,1
1461,-1
5495,1
1940,-1
2252,-1
6338,1
4606,1
7429,1
1277,-1
6391,1
1255,-1
4928,1
51,-1
4320,1
6135,1
5577,1
6027,1
7460,-1
7671,-1
1411,-1
2417,-1
6555,1
7840,-1
2917,-1
6850,1
2866,-1
6597,1
1363,-1
479,-1
6603,1
2754,-1
6779,1
2535,-1
1364,-1
7404,-1
1982,-1
7813,-1
1091,-1
65,-1
7850,1
4613,1
6438,1
4826,1
1034,-1
5875,-1
4098,1
2817,-1
2162,-1
1768,-1
4523,1
2948,-1
3270,1
378,-1
3359,1
5854,1
5891,1
4017,1
3908,1
4498,1
944,-1
2009,1
683,-1
6693,1
5545,1
1995,-1
6178,1
8058,1
2577,-1
2799,-1
4948,1
4507,1
5396,1
148,-1
5242,1
4088,1
7080,1
5594,1
3433,-1
1881,-1
7718,1
6134,1
7400,-1
1766,-1
3719,-1
5383,1
7281,-1
4920,1
2929,-1
4770,1
1750,-1
2824,-1
5563,-1
5210,-1
2476,-1
4568,1
2516,-1
6403,-1
2350,-1
1156,-1
5147,1
773,-1
5998,1
891,-1
6837,1
2293,-1
6226,1
6076,1
4581,1
3448,-1
3014,-1
6392,1
3088,-1
2868,-1
5395,1
2883,-1
3435,1
7398,-1
7239,-1
4319,1
6595,1
4861,1
3977,1
1453,1
2648,-1
3805,-1
6019,1
3456,-1
2513,-1
7928,1
7829,-1
5348,1
6321,1
880,-1
7899,1
5328,1
2877,-1
5414,1
3160,-1
2526,-1
1082,-1
6375,-1
878,-1
5586,-1
6196,1
7120,1
2730,-1
8060,1
283,-1
6813,1
1014,-1
7577,1
6908,1
7706,1
2190,-1
7911,-1
5036,1
2940,-1
768,-1
5177,1
1984,-1
4406,1
5822,1
7426,1
2266,-1
2055,-1
1220,-1
2229,-1
4942,1
6736,1
85,-1
8063,-1
4312,1
7653,1
6147,-1
1607,-1
502,-1
4832,1
5868,1
2670,-1
6662,1
4794,1
5983,1
3136,-1
864,-1
2975,-1
170,-1
3517,-1
464,-1
5409,1
7082,1
557,-1
470,-1
2905,-1
874,-1
6982,1
6946,1
4084,1
4916,1
3032,-1
5903,-1
4234,1
31,1
7306,-1
7342,1
6645,1
418,-1
5687,-1
4388,1
4871,-1
3879,1
2580,-1
1373,-1
3731,-1
4551,1
800,-1
5879,1
2171,-1
2933,-1
3402,1
5971,1
7509,1
2708,-1
2235,-1
4374,1
4052,1
5856,1
6660,-1
7740,-1
6733,1
1121,-1
5397,1
287,-1
2774,-1
5183,1
912,-1
2377,-1
5223,-1
4557,-1
2587,-1
3286,-1
3200,-1
559,-1
138,1
3042,-1
3420,-1
137,-1
4617,1
5636,1
6198,1
1912,-1
2070,-1
4198,1
4936,1
863,-1
4675,1
4299,1
2329,-1
4858,-1
1835,-1
4976,1
6191,1
6339,1
8123,-1
2270,-1
7153,-1
6551,1
393,-1
2944,-1
2041,-1
7006,1
6472,1
1261,1
831,-1
7816,1
420,-1
2657,-1
7535,-1
2635,-1
5073,1
194,-1
290,-1
5030,1
7560,-1
3429,-1
3618,-1
6079,1
4359,1
2545,-1
2921,-1
5804,-1
963,-1
4890,1
3539,1
6714,1
7779,-1
4221,1
5040,1
2223,-1
1259,1
6121,1
7821,1
159,-1
5833,1
6111,1
4059,-1
6040,-1
1529,-1
2838,-1
4135,1
1139,-1
4282,1
7937,-1
6045,1
227,-1
6635,1
3374,-1
5922,1
4021,1
634,-1
7781,1
3043,-1
747,-1
3566,-1
191,-1
4348,1
5878,1
530,-1
2797,1
4004,1
3171,-1
3710,1
1867,-1
291,-1
5066,1
1856,-1
6140,1
1235,-1
3643,-1
4213,1
7977,-1
6630,1
1357,-1
5671,1
2966,-1
4170,1
4642,1
5340,-1
48,-1
7744,-1
1334,-1
1578,-1
321,-1
